Sample	posterior	likelihood	prior	SkylineM.A_to_B.1	SkylineM.A_to_B.2	SkylineM.B_to_A.1	SkylineM.B_to_A.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-6121.612342564413	-6089.612280428941	-32.00006213547169	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	3.0518818592526205	11.10059143868137	-17.152592957880497	-6089.612280428941
2	-6120.312664266069	-6088.768459291434	-31.544204974635583	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	7.885734160243913	-16.696735797044393	-6088.768459291434
4	-6119.294019942856	-6087.726603467599	-31.567416475257456	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	7.887351472897829	-16.719947297666266	-6087.726603467599
6	-6115.541775453312	-6083.704439273049	-31.8373361802637	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.084851076202401	-16.98986700267251	-6083.704439273049
8	-6115.26620648201	-6083.431084189171	-31.835122292838975	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
10	-6115.26620648201	-6083.431084189171	-31.835122292838975	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
12	-6115.26620648201	-6083.431084189171	-31.835122292838975	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	1.8095231019234006	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
14	-6115.565606450373	-6083.431084189171	-32.13452226120195	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	2.141797996143504	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
16	-6115.565606450373	-6083.431084189171	-32.13452226120195	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	2.141797996143504	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
18	-6115.565606450373	-6083.431084189171	-32.13452226120195	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	2.141797996143504	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.08334118284107	-16.987653115247785	-6083.431084189171
20	-6112.728290728873	-6080.61243228217	-32.11585844670255	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.16522553619761232	1.0745994891369253	2.141797996143504	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.048116364959863	-16.96898930074839	-6080.61243228217
22	-6112.794884017144	-6080.61243228217	-32.18245173497446	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.47344380862115154	0.7502467516404311	1.4430089436164055	8.048116364959863	-16.977826496602148	-6080.61243228217
24	-6112.227371668025	-6080.081026788345	-32.146344879679475	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.47344380862115154	0.6016337515074883	1.4430089436164055	8.04558069069766	-16.971813245210633	-6080.081026788345
26	-6112.201299470684	-6080.081026788345	-32.12027268233894	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4430089436164055	8.04558069069766	-16.97097887008693	-6080.081026788345
28	-6112.201299470684	-6080.081026788345	-32.12027268233894	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4430089436164055	8.04558069069766	-16.97097887008693	-6080.081026788345
30	-6109.63910721739	-6077.524495726002	-32.11461149138784	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4430089436164055	8.04558069069766	-16.965317679135833	-6077.524495726002
32	-6110.9777724685255	-6078.9014851794445	-32.076287289081066	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.23030865673142198	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4430089436164055	8.043552612170826	-16.926993476829058	-6078.9014851794445
34	-6111.208137248432	-6079.038599960181	-32.16953728825051	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4743291709129323	8.218136350684183	-17.098172638624987	-6079.038599960181
36	-6111.208137248432	-6079.038599960181	-32.16953728825051	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.23327255153344145	0.6016337515074883	1.4743291709129323	8.218136350684183	-17.098172638624987	-6079.038599960181
38	-6111.323370620545	-6079.038599960181	-32.28477066036358	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.6131967603663487	0.6016337515074883	1.4743291709129323	8.218136350684183	-17.120387054161846	-6079.038599960181
40	-6107.705818892562	-6075.421048232199	-32.28477066036358	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.6131967603663487	0.6016337515074883	1.4743291709129323	8.218136350684183	-17.120387054161846	-6075.421048232199
42	-6107.705818892562	-6075.421048232199	-32.28477066036358	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.6131967603663487	0.6016337515074883	1.4743291709129323	8.218136350684183	-17.120387054161846	-6075.421048232199
44	-6106.296680641857	-6074.072194358423	-32.22448628343414	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	1.4743291709129323	8.329022506894457	-17.157682663751004	-6074.072194358423
46	-6106.283597267176	-6074.016565805473	-32.267031461703056	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	1.4743291709129323	8.373935932872087	-17.200227842019924	-6074.016565805473
48	-6106.283597267176	-6074.016565805473	-32.267031461703056	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	1.4743291709129323	8.373935932872087	-17.200227842019924	-6074.016565805473
50	-6105.085599113044	-6072.302988539776	-32.78261057326738	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.588392444827456	-17.715806953584245	-6072.302988539776
52	-6100.173285342588	-6067.163330261516	-33.00995508107161	1.9032555398188469	0.999957946640794	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.732215552581284	-17.943151461388478	-6067.163330261516
54	-6100.157003198607	-6067.202607328818	-32.95439586978877	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.72911581458007	-18.274162402036445	-6067.202607328818
56	-6100.241615017988	-6067.288931440477	-32.95268357751024	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.14129295996504024	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.728049576871538	-18.27245010975792	-6067.288931440477
58	-6099.422649752064	-6066.530196907273	-32.892452844790675	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.725623734725737	-18.26641489491442	-6066.530196907273
60	-6099.422649752064	-6066.530196907273	-32.892452844790675	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.725623734725737	-18.26641489491442	-6066.530196907273
62	-6067.140515902019	-6034.706425441026	-32.434090460992266	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.531522566600248	-17.808052511116014	-6034.706425441026
64	-6067.140515902019	-6034.706425441026	-32.434090460992266	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	11.531522566600248	-17.808052511116014	-6034.706425441026
66	-6056.660872435674	-6023.493397301955	-33.16747513371862	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.345675953972851	-18.541437183842362	-6023.493397301955
68	-6056.660872435674	-6023.493397301955	-33.16747513371862	1.9032555398188469	1.6963588555060398	-0.6896533582467841	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.345675953972851	-18.541437183842362	-6023.493397301955
70	-6056.3000465179475	-6023.493397301955	-32.80664921599251	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	2.141797996143504	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.345675953972851	-18.546277751211665	-6023.493397301955
72	-6055.780066622095	-6023.493397301955	-32.28666932013975	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.345675953972851	-18.546277751211665	-6023.493397301955
74	-6055.780066622095	-6023.493397301955	-32.28666932013975	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.345675953972851	-18.546277751211665	-6023.493397301955
76	-6056.272026773923	-6024.062458975611	-32.209567798312236	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.225141955900817	-18.469176229384143	-6024.062458975611
78	-6056.272026773923	-6024.062458975611	-32.209567798312236	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	0.6016337515074883	3.0815574268906163	12.225141955900817	-18.469176229384143	-6024.062458975611
80	-6057.2438184295215	-6024.062458975611	-33.18135945391073	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	1.726160501223889	3.0815574268906163	12.225141955900817	-18.469176229384143	-6024.062458975611
82	-6056.941586087105	-6023.747650930907	-33.19393515619815	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.7600317513576448	0.2997187901512928	1.726160501223889	3.0815574268906163	12.233824817643185	-18.481751931671564	-6023.747650930907
84	-6057.1271458548745	-6023.747650930907	-33.379494923967115	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	1.726160501223889	3.0815574268906163	12.233824817643185	-18.481751931671564	-6023.747650930907
86	-6052.632314766252	-6019.255522991918	-33.37679177433401	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	1.726160501223889	3.0815574268906163	12.233824817643185	-18.479048782038454	-6019.255522991918
88	-6051.250267917684	-6014.980310391966	-36.26995752571827	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	3.0815574268906163	12.218802092325983	-18.444172639882478	-6014.980310391966
90	-6051.183742122873	-6014.923166836147	-36.26057528672585	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	3.0815574268906163	12.204875623930999	-18.434790400890062	-6014.923166836147
92	-6043.893066336663	-6008.147343065059	-35.74572327160307	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	2.9222130918406792	11.561840272014674	-17.919938385767278	-6008.147343065059
94	-6043.893066336663	-6008.147343065059	-35.74572327160307	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	2.9222130918406792	11.561840272014674	-17.919938385767278	-6008.147343065059
96	-6042.256553683584	-6006.920354905272	-35.33619877831231	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	2.788488663216925	11.03275480301474	-17.510413892476517	-6006.920354905272
98	-6043.679549772923	-6008.4367773617705	-35.242772411152316	1.9032555398188469	1.6963588555060398	-0.36565144997876614	0.0732888073186392	1.0745994891369253	0.38898123005283647	0.2997187901512928	3.10877908536893	2.788488663216925	10.933079983015208	-17.416987525316518	-6008.4367773617705
