Sample	posterior	likelihood	prior	SkylineM.A_to_B.1	SkylineM.A_to_B.2	SkylineM.B_to_A.1	SkylineM.B_to_A.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.A.3	SkylineNe.A.4	SkylineNe.B.1	SkylineNe.B.2	SkylineNe.B.3	SkylineNe.B.4	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-5840.56364785779	-5798.573118866341	-41.990528991448954	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.39933939197452933	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.50163834768288	-20.958930403024233	-5798.573118866341
2	-5840.56364785779	-5798.573118866341	-41.990528991448954	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.39933939197452933	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.50163834768288	-20.958930403024233	-5798.573118866341
4	-5840.56364785779	-5798.573118866341	-41.990528991448954	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.39933939197452933	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.50163834768288	-20.958930403024233	-5798.573118866341
6	-5840.56364785779	-5798.573118866341	-41.990528991448954	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.39933939197452933	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.50163834768288	-20.958930403024233	-5798.573118866341
8	-5841.055133996119	-5798.573118866341	-42.48201512977808	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.50163834768288	-20.966278988902925	-5798.573118866341
10	-5840.605014242941	-5798.02516635122	-42.57984789172103	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.55628429441904	-21.064111750845885	-5798.02516635122
12	-5840.605014242941	-5798.02516635122	-42.57984789172103	0.5986358956132772	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.55628429441904	-21.064111750845885	-5798.02516635122
14	-5843.134060165145	-5798.02516635122	-45.10889381392489	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.55628429441904	-21.57906641181108	-5798.02516635122
16	-5843.134060165145	-5798.02516635122	-45.10889381392489	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.55628429441904	-21.57906641181108	-5798.02516635122
18	-5843.495810655236	-5798.3778692593805	-45.11794139585535	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	1.709509253266211	1.4959790387454097	2.01939132704762	16.673935590535972	39.55856254596118	-21.58811399374154	-5798.3778692593805
20	-5842.317705330056	-5798.373402285456	-43.94430304459997	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.524896793625935	-21.63505567580036	-5798.373402285456
22	-5842.317705330056	-5798.373402285456	-43.94430304459997	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.524896793625935	-21.63505567580036	-5798.373402285456
24	-5842.1478833465135	-5798.2626949149035	-43.88518843161012	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.50482748739164	-21.57594106281051	-5798.2626949149035
26	-5842.1478833465135	-5798.2626949149035	-43.88518843161012	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.1491471889827289	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.50482748739164	-21.57594106281051	-5798.2626949149035
28	-5842.426580402915	-5798.2626949149035	-44.163885488011594	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.35776050692622346	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.50482748739164	-21.5698123964512	-5798.2626949149035
30	-5842.432948197352	-5798.25727913539	-44.17566906196229	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.35776050692622346	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.5343774857276	-21.581595970401896	-5798.25727913539
32	-5843.658193680324	-5798.44743646759	-45.21075721273473	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.673935590535972	39.560100752494364	-21.712662288309808	-5798.44743646759
34	-5843.793580098751	-5798.44743646759	-45.34614363116072	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	17.69598688017796	41.604203331778336	-21.8480487067358	-5798.44743646759
36	-5843.674784239217	-5798.334038240646	-45.34074599857063	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	17.69598688017796	41.57271972869936	-21.842651074145714	-5798.334038240646
38	-5844.284582335559	-5799.424507267677	-44.860075067882725	1.3189003891726574	-0.8787854543094956	1.1118747205596946	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.294883437489965	-21.36198014345781	-5799.424507267677
40	-5842.611242174583	-5799.424507267677	-43.1867349069063	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.294883437489965	-21.327087663232714	-5799.424507267677
42	-5842.611242174583	-5799.424507267677	-43.1867349069063	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.294883437489965	-21.327087663232714	-5799.424507267677
44	-5842.971302963238	-5799.790201298659	-43.181101664579074	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.29314000948117	-21.321454420905486	-5799.790201298659
46	-5842.92681221045	-5799.754605678393	-43.17220653205697	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.270475493957576	-21.312559288383376	-5799.754605678393
48	-5842.92681221045	-5799.754605678393	-43.17220653205697	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.7945620699802448	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.270475493957576	-21.312559288383376	-5799.754605678393
50	-5842.386709522898	-5799.754605678393	-42.63210384450453	1.3189003891726574	-0.8787854543094956	0.43745048249347396	-0.8800769273466105	1.2477362767781153	0.8693261993894483	0.6280233896711891	-0.3642820337720647	-0.3060803808729658	0.7421355769632412	1.4959790387454097	2.01939132704762	16.300731809469422	38.270475493957576	-21.29199626913933	-5799.754605678393
